Series,Episode,Baker,Signature Bake,Show Stopper
5,2,Martha,Caramelised Onion and Goat's Cheese Sandwich Biscuits,Ski Village Scene
5,2,Nancy,Fennel and Rye Thins,Hansel and Gretel Scene
5,2,Norman,Farthing Biscuits,Zulu Boats at Dawn
5,2,Richard,Rosemary Seeded Crackers,Pirates!
5,3,Chetna,Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf
5,3,Diana,Rustic Picnic Rolls,Sharing Savoury Pinwheel
5,3,Iain,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip
5,3,Jordan,Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche
5,3,Kate,Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive and Coriander Bread"
5,3,Luis,Opposites Attract Rolls,Roscón de Reyes
5,3,Martha,Date and Walnut Rye Rolls,Stuffed Sunflower Loaf
5,3,Nancy,Cider and Walnut Crusty Rolls,'Full English' Stromboli
5,3,Norman,Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf
5,3,Richard,Rye and Cranberry Rolls,Pesto Pinwheel
5,4,Chetna,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska"
5,4,Diana,Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan
5,4,Iain,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)"
5,4,Kate,Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska"
5,4,Luis,Pears in Puddings,Bakewell Alaska
5,4,Martha,Peanut Butter Chocolate Fondants,Key Lime Baked Alaska
5,4,Nancy,Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska
5,4,Norman,Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise
5,4,Richard,Black Forest Chocolate Fondants,Tiramisu Baked Alaska
5,5,Chetna,Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies
5,5,Kate,Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies"
5,5,Luis,Tropical Manchester Tart,Four Fruity Seasons Tower
5,5,Martha,"Pistachio, Apricot and Honey Custard Tart",Three Little Pigs Pie
5,5,Nancy,Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies
5,5,Norman,Tarte au Citron,Pieful Tower
5,5,Richard,Fig and Orange Tart,Three Course Autumn Pie Feast
5,6,Chetna,Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream
5,6,Kate,"Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes
5,6,Luis,Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill
5,6,Martha,Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte
5,6,Nancy,Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte
5,6,Richard,Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte
5,7,Chetna,Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs
5,7,Kate,Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs
5,7,Luis,Childhood Empanadas,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)"
5,7,Martha,Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs
5,7,Nancy,Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs
5,7,Richard,Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)"
5,8,Chetna,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts
5,8,Luis,Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)"
5,8,Martha,Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts
5,8,Nancy,Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)"
5,8,Richard,Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts
5,9,Chetna,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets"
5,9,Luis,Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges"
5,9,Nancy,Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets
5,9,Richard,Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets
5,10,Luis,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate
5,10,Nancy,Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill
5,10,Richard,Pear Pain au ChocolatPain Au Lait,Mill on the Hill
6,1,Alvin,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau
6,1,Dorret,Madeira Cake with Candied Lemons,Enchanted Forest Gâteau
6,1,Flora,Blood Orange Madeira Cake,Black Forest Gâteau
6,1,Ian,Somewhere West of Madeira Cake,Black Forest Cherry Tree
6,1,Marie,Zingy Citrus Madeira Cake,A Walk in the Black Forest
6,1,Mat,Gin and Tonic Madeira Cake,Black Forest Gateau
6,1,Nadiya,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau
6,1,Paul,"Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation
6,1,Sandy,Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau
6,1,Stu,Marley Madeira Cake,Purple Forest Gâteau
6,1,Tamal,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell
6,1,Ugnė,Lemon and Thyme Madeira Cake,Falling Cup Gâteau
6,2,Alvin,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps
6,2,Dorret,Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs
6,2,Flora,Wedding Biscotti,Honey and Earl Grey Tea Box
6,2,Ian,"Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture
6,2,Marie,Biscotti Italiano,Russian Box
6,2,Mat,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine
6,2,Nadiya,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes
6,2,Paul,"Chocolate, Hazelnut and Fig Biscotti",Memory Box
6,2,Sandy,Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box
6,2,Tamal,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box
6,2,Ugnė,White Wine Biscotti,Baby Climbing into the Cookie Box
6,3,Alvin,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia
6,3,Dorret,Walnut and Stilton Soda Breads,Unmade Bread
6,3,Flora,Fig and Hazelnut Rye Breads,Herb Couture
6,3,Ian,Wild Garlic Pesto Soda Breads,Flour Power
6,3,Mat,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion
6,3,Nadiya,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket
6,3,Paul,Cranberry and Orange Sweet Soda Breads,King of the Jungle
6,3,Sandy,Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre
6,3,Tamal,"Fig, Cheese and Walnut Breads",Breadcycle
6,3,Ugnė,Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket
6,4,Alvin,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes
6,4,Flora,Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes
6,4,Ian,Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes
6,4,Mat,Coconut Crème Brûlées,Chocolate Bar Cheesecakes
6,4,Nadiya,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes
6,4,Paul,Almond Crème Brûlées,Berry Cheesecake Tower
6,4,Sandy,Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes"
6,4,Tamal,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio"
6,4,Ugnė,Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes"
6,5,Alvin,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
6,5,Flora,"Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche
6,5,Ian,Honey and Flowers Cake,Dessert Island
6,5,Mat,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll
6,5,Nadiya,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll
6,5,Paul,Carrot & Pecan Cake,Dessert Island Getaway
6,5,Tamal,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll
6,5,Ugnė,Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll"
6,6,Alvin,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents
6,6,Flora,Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents
6,6,Ian,Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer
6,6,Mat,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents
6,6,Nadiya,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents
6,6,Paul,Christmas Frangipane Tart,Savoury and Sweet Bouchées
6,6,Tamal,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents
6,7,Flora,Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe"
6,7,Ian,Roadkill Pie,Victoria's Crown Charlotte Russe
6,7,Mat,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe
6,7,Nadiya,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe
6,7,Paul,Not a Boaring Pie,Charlotte Rose
6,7,Tamal,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe"
6,8,Flora,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne
6,8,Ian,Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions
6,8,Nadiya,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne
6,8,Paul,Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne
6,8,Tamal,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne
6,9,Flora,Passion Fruit and Chocolate Tart,Cocoa Carousel
6,9,Ian,Chocolate and Bay Tart,Chocolate Well
6,9,Nadiya,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door
6,9,Tamal,Chocolate New York Pie,Chocolate Bell Tower
6,10,Ian,Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake
6,10,Nadiya,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake
6,10,Tamal,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake
7,1,Andrew,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake
7,1,Benjamina,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream
7,1,Candice,Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?"
7,1,Jane,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake
7,1,Kate,Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake
7,1,Lee,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake
7,1,Louise,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake
7,1,Michael,"Lime, Ginger and Honey Drizzle Cake",Matcha Tea Chocolate Mirror Glaze
7,1,Rav,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake
7,1,Selasi,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake"
7,1,Tom,G&T Drizzle Cake,Black Forest Broken Mirror
7,1,Val,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting
7,2,Andrew,Beehive Biscuits,Punting in Cambridge
7,2,Benjamina,Bouquet Biscuits,"New York, New York"
7,2,Candice,"Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet
7,2,Jane,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat
7,2,Kate,"""A Biscuit for the Broads""","""I Promise I will do my best"""
7,2,Louise,Baa Bara Brith Biscuits,Gingerbread Wedding
7,2,Michael,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",Trip to See Santa in Lapland
7,2,Rav,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground
7,2,Selasi,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church
7,2,Tom,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience
7,2,Val,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire
7,3,Andrew,Chocolate Barmbrack Bread,Braided Harvest Bread Basket
7,3,Benjamina,"Chocolate, Tahini and Almond Babka",Braided Bread Heart
7,3,Candice,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist
7,3,Jane,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre
7,3,Kate,Cobbled Loaf,The Corn Maiden
7,3,Michael,Chocolate and Chilli Swirl Plait,Cypriot Dove and Olive Branch Plaited Loaf with Houmous
7,3,Rav,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece
7,3,Selasi,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread
7,3,Tom,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir
7,3,Val,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain"""
7,4,Andrew,Yorkshire 'Tapas' Puddings,Churros Window Box
7,4,Benjamina,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros
7,4,Candice,Yorkshire Wellingtons,Two-Way Peanut Butter Churros
7,4,Jane,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros
7,4,Kate,Christmas Dinner Compromise,Hot Cross Bunny Churros
7,4,Rav,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros
7,4,Selasi,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros
7,4,Tom,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass
7,4,Val,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros
7,5,Andrew,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites
7,5,Benjamina,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups
7,5,Candice,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups"
7,5,Jane,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones"
7,5,Rav,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas
7,5,Selasi,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups"
7,5,Tom,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche
7,5,Val,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels"
7,6,Andrew,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio
7,6,Benjamina,Grapefruit and Ginger Meringue Pie,Floral Tea Cake
7,6,Candice,"Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake
7,6,Jane,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar
7,6,Rav,Mandarin Margarita Meringue Pie,Blossom Cake
7,6,Selasi,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake
7,6,Tom,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake
7,7,Andrew,Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes
7,7,Benjamina,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake
7,7,Candice,Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse
7,7,Jane,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses"
7,7,Selasi,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes"
7,7,Tom,Millionaire's Roulade,Hipster Picnic
7,8,Andrew,Da Vinci Inspired Geared Pies,Jousting Knights Marchpane
7,8,Benjamina,Mexican Adventure,Tudor Garden
7,8,Candice,Cheesy Cheeky Fish Pies,Peacock
7,8,Jane,Tudor Rose Pies,Swans
7,8,Selasi,Bouquet of Flowers,Fruity Tudor Marchpane
7,9,Andrew,Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants
7,9,Candice,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies
7,9,Jane,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies
7,9,Selasi,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies
7,10,Andrew,Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic
7,10,Candice,Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens
7,10,Jane,"Red, White and Blue Meringue Crown",Family Favourites Feast
8,1,Chris,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake
8,1,Flo,Citrus Layer Cake,'One in a Melon' Cake
8,1,James,"Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake
8,1,Julia,Courgette and Lemon Cake,'Russian Doll' Cake
8,1,Kate,Moroccan Strawberry and Rose Cake,'Chocolate Terrarium' Cake
8,1,Liam,Apple and Almond Crumble Maple Loaf,'Stackin' Sunday' Cake
8,1,Peter,Coconut Cake,'Bread on a Breadboard' Cake
8,1,Sophie,Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake
8,1,Stacey,Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake
8,1,Steven,Bonfire Night Cake,'A Baker's Lunch' Cake
8,1,Tom,Gilded Pear and Cardamom Cake,'Stack of Books' Cake
8,1,Yan,Windfall Apple Crumble Cake,'Banana-ramen' Cake
8,2,Chris,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game
8,2,Flo,Gin Jam Butties,'Pick My Bones' Game
8,2,James,Rhubarb and Custard Whirls,'Coppit' Game
8,2,Julia,Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game
8,2,Kate,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game
8,2,Liam,Coffee Malted Pecan Shorties,'Classroom Classics' Game
8,2,Sophie,Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game
8,2,Stacey,Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game
8,2,Steven,Amarpressi Biscuits,'Check Bake' Game
8,2,Tom,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game
8,2,Yan,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game
8,3,Flo,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture
8,3,James,Nordic Teacakes,'Owl in the Woods' Bread Sculpture
8,3,Julia,Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture
8,3,Kate,Blueberry Buns,'Kraken' Bread Sculpture
8,3,Liam,Jamaican Spiced Teacakes,'Kneadapolitan' Bread Sculpture
8,3,Sophie,Tagine Teacakes,'Picnic Basket' Bread Sculpture
8,3,Stacey,Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture
8,3,Steven,Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture
8,3,Tom,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture
8,3,Yan,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture
8,4,James,'Windy City' Millionaire Shortbreads,Nutty Caramel Cake
8,4,Julia,Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake
8,4,Kate,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake
8,4,Liam,Salted Peanut Butter Millionaire Shortbreads,White Layered Ginger Caramel Cake
8,4,Sophie,Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake
8,4,Stacey,Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake
8,4,Steven,Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake
8,4,Tom,Stem Ginger Caramel Shortbreads,Hummingbird Cake
8,4,Yan,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake
8,5,James,Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine
8,5,Julia,Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine
8,5,Kate,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine
8,5,Liam,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine
8,5,Sophie,"Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine"
8,5,Stacey,Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine
8,5,Steven,Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine
8,5,Yan,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine
8,6,Julia,'Pies from the Tree' Decorative Pies,'Special Occasion' Pie
8,6,Kate,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze
8,6,Liam,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie
8,6,Sophie,'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits
8,6,Stacey,'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango
8,6,Steven,'Fleetwood Mac' Decorative Pies,Christmas Pie
8,6,Yan,'πr2' Decorative Pies,Chequerboard Pie
8,7,Kate,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle
8,7,Liam,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle
8,7,Sophie,'Classics with a Twist' Cannoli,'Classics' Sfogliatelle
8,7,Stacey,My All Time Favourite Desserts,Pastry Surprise
8,7,Steven,Italian Style Cannoli,'Sicilian-style' Sfogliatelle
8,7,Yan,Cannoli Cocktails,Canadian-Style Sfogliatelle
8,8,Kate,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake
8,8,Liam,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake
8,8,Sophie,Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake
8,8,Stacey,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake
8,8,Steven,'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake
8,9,Kate,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece
8,9,Sophie,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece
8,9,Stacey,'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece
8,9,Steven,Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece
8,10,Kate,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet"
8,10,Sophie,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet
8,10,Steven,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet
